1,relógio de pulso,3,150.00,01/07/2023
2,óculos de sol,4,75.00,02/07/2023
3,jaqueta de couro,2,250.00,03/07/2023
4,luvas de inverno,10,20.00,04/07/2023
5,cachecol,8,30.00,05/07/2023
6,bermuda de praia,6,60.00,06/07/2023
7,chinelo,12,25.00,07/07/2023
8,moletom,5,90.00,08/07/2023
9,sandália,9,40.00,09/07/2023
10,blusa de frio,3,120.00,10/07/2023
11,chapéu,7,35.00,11/07/2023
12,shorts,11,45.00,12/07/2023
13,camiseta polo,15,50.00,13/07/2023
14,camisa social,18,70.00,14/07/2023
15,jaqueta impermeável,4,110.00,15/07/2023
16,calça jeans,8,80.00,16/07/2023
17,blusa de manga longa,5,65.00,17/07/2023
18,colete,9,40.00,18/07/2023
19,pólo esportiva,7,55.00,19/07/2023
20,suéter,6,85.00,20/07/2023
21,tênis de corrida,10,140.00,21/07/2023
22,roupa de cama,3,95.00,22/07/2023
23,almofada,8,30.00,23/07/2023
24,cobertor,4,120.00,24/07/2023
25,almofada de pescoço,12,20.00,25/07/2023
26,mesa de escritório,2,200.00,26/07/2023
27,cadeira de escritório,5,150.00,27/07/2023
28,estante,3,180.00,28/07/2023
29,sofá,1,800.00,29/07/2023
30,aparador,4,220.00,30/07/2023
31,mesa de jantar,3,350.00,31/07/2023
32,armário,2,400.00,01/08/2023
33,organizador de gaveta,6,35.00,02/08/2023
34,prateleira,8,70.00,03/08/2023
35,espelho de parede,7,90.00,04/08/2023
36,luminária de teto,4,130.00,05/08/2023
37,relógio de parede,5,55.00,06/08/2023
38,janela de alumínio,2,250.00,07/08/2023
39,porta,1,350.00,08/08/2023
40,cortina,3,70.00,09/08/2023
41,velas aromáticas,10,20.00,10/08/2023
42,incenso,12,15.00,11/08/2023
43,mesa de café,4,180.00,12/08/2023
44,prato de jantar,6,25.00,13/08/2023
45,caneca,8,18.00,14/08/2023
46,talheres,10,50.00,15/08/2023
47,panela,3,90.00,16/08/2023
48,frigideira,5,75.00,17/08/2023
49,escorredor de pratos,7,22.00,18/08/2023
50,garrafa térmica,2,60.00,19/08/2023
51,moedor de café,4,40.00,20/08/2023
52,assadeira,6,55.00,21/08/2023
53,tigela,10,35.00,22/08/2023
54,jogo de panelas,3,250.00,23/08/2023
55,bule,7,45.00,24/08/2023
56,pote de armazenamento,12,28.00,25/08/2023
57,porta-copos,8,12.00,26/08/2023
58,balde,5,22.00,27/08/2023
59,espanador,10,18.00,28/08/2023
60,rodo,7,30.00,29/08/2023
61,aspirador de pó,2,220.00,30/08/2023
62,ferro de passar roupa,3,150.00,31/08/2023
63,secador de cabelo,4,120.00,01/09/2023
64,chapinha de cabelo,6,80.00,02/09/2023
65,alicate de unha,8,10.00,03/09/2023
66,pente,10,5.00,04/09/2023
67,toalha de banho,5,45.00,05/09/2023
68,toalha de rosto,7,20.00,06/09/2023
69,kit de maquiagem,4,85.00,07/09/2023
70,creme hidratante,6,30.00,08/09/2023
71,sabonete,12,8.00,09/09/2023
72,xampu,3,25.00,10/09/2023
73,condicionador,5,22.00,11/09/2023
74,desodorante,7,15.00,12/09/2023
75,loção pós-barba,4,28.00,13/09/2023
76,desinfetante,6,18.00,14/09/2023
77,papel higiênico,12,12.00,15/09/2023
78,pasta de dente,8,7.00,16/09/2023
79,escova de dentes,5,5.00,17/09/2023
80,caneta esferográfica,10,3.00,18/09/2023
81,lápis de cor,8,15.00,19/09/2023
82,marcador de texto,6,10.00,20/09/2023
83,agenda,4,40.00,21/09/2023
84,clipes,12,5.00,22/09/2023
85,tesoura,7,12.00,23/09/2023
86,pregadores,10,6.00,24/09/2023
87,calculadora,3,30.00,25/09/2023
88,toalha,15,1.00,26/09/2023

